draw,regimen,exposure,censored,final,rank
26,Gemcitabine,18.94,1.0,0.0,1
27,SAC,6.787,0.0,1.910386965376782,3
27,Eupatilin,9.936,0.0,2.219959266802444,8
27,20(S)-Rg3,5.238,0.0,0.0,2
27,Curcumin,7.673,0.0,1.5885947046843176,4
27,SAC+Eupatilin,7.734,0.0,0.13034623217922606,5
27,Eupatilin+Rg3,7.843,0.0,0.15682281059063136,6
27,SAC+Rg3+Curcumin,9.08,0.0,0.0,7
27,Gemcitabine,45.943,1.0,0.0,1
28,SAC,6.189,0.0,1.7801268498942917,2
28,Eupatilin,14.552,0.0,1.6088794926004228,4
28,20(S)-Rg3,13.797,0.0,0.8181818181818182,3
28,Curcumin,16.924,0.0,2.3107822410147993,5
28,SAC+Eupatilin,20.741,0.0,0.9704016913319239,8
28,Eupatilin+Rg3,17.246,0.0,0.17970401691331925,6
28,SAC+Rg3+Curcumin,20.147,0.0,0.09090909090909091,7
28,Gemcitabine,9.07,1.0,0.0,1
29,SAC,12.162,0.0,1.041407867494824,2
29,Eupatilin,12.461,0.0,1.7494824016563146,3
29,20(S)-Rg3,17.81,0.0,1.3685300207039337,6
29,Curcumin,17.026,0.0,0.8074534161490683,5
29,SAC+Eupatilin,21.033,0.0,0.34782608695652173,7
29,Eupatilin+Rg3,15.261,0.0,0.2111801242236025,4
29,SAC+Rg3+Curcumin,30.353,0.0,0.0,8
29,Gemcitabine,11.022,1.0,0.0,1
30,SAC,7.06,0.0,1.52,2
30,Eupatilin,13.92,0.0,2.16,4
30,20(S)-Rg3,15.358,0.0,0.28,5
30,Curcumin,9.628,0.0,3.042105263157895,3
30,SAC+Eupatilin,18.183,0.0,0.4842105263157895,6
30,Eupatilin+Rg3,22.919,0.0,0.07368421052631578,7
30,SAC+Rg3+Curcumin,30.859,0.0,0.40210526315789474,8
30,Gemcitabine,8.706,1.0,0.0,1
31,SAC,5.494,0.0,1.258252427184466,2
31,Eupatilin,8.363,0.0,2.1766990291262136,6
31,20(S)-Rg3,7.576,0.0,0.0,4
31,Curcumin,7.863,0.0,1.5902912621359224,5
31,SAC+Eupatilin,7.159,0.0,0.0,3
31,Eupatilin+Rg3,22.35,0.0,0.7611650485436893,8
31,SAC+Rg3+Curcumin,17.205,0.0,0.0,7
31,Gemcitabine,31.331,1.0,0.0,1
32,SAC,7.503,0.0,0.3510204081632653,5
32,Eupatilin,5.281,0.0,0.21428571428571427,4
32,20(S)-Rg3,3.368,0.0,0.0,2
32,Curcumin,19.034,0.0,0.6469387755102041,8
32,SAC+Eupatilin,9.36,0.0,0.0,6
32,Eupatilin+Rg3,5.005,0.0,0.0,3
32,SAC+Rg3+Curcumin,12.735,0.0,0.0,7
32,Gemcitabine,14.628,1.0,0.0,1
33,SAC,6.017,0.0,0.657088122605364,2
33,Eupatilin,13.946,0.0,1.417624521072797,4
33,20(S)-Rg3,11.661,0.0,0.3946360153256705,3
33,Curcumin,15.847,0.0,2.706896551724138,5
33,SAC+Eupatilin,16.47,0.0,0.29118773946360155,6
